140;1975-1977;Областное межрайонное хозрасчетное производственное объединение Облколхозплодпром
141;1949-1987;Управление строительства  Ростовдонводстрой
142;1949-1952;Специализированная контора управления строительства Ростовдонводстрой
143;1949-1953;Контора производственных и подсобных предприятий Управления строительства Ростовдонводстрой
144;1949-1961;Контора материально-технического снабжения Управления строительства Ростовдонводстрой
;1961-1964;Отдел снабжения Управления строительства Ростовдонводстрой
;1964-1975;Контора материально-технического снабжения Управления строительства Ростовдонводстрой
;1975-1983;Управление производственно-технологический комплектации Управления строительства «Ростовдонводстрой»
145;1971-1989;Ростовское отделение Всесоюзного государственного промышленного хозрасчетного объединения Союзучетиздат
;1989-1992;Ростовское отделение редакционно-полиграфического объединения Союзбланкоиздат
;1992-1993;Предприятие Бланкоиздат
;1993-1998;ТОО Бланкоиздат
;1998-2006;ООО Бланкоиздат
146;1968-1972;Ростовское строительно-монтажное управление Ростоблколхозстроя
;1973-1978;Ростовское строительно-монтажное управлениетреста Спецстроймонтаж
;1978-1982;Ростовская передвижная механизированная колонна треста Спецстроймонтаж Ростоблколхозстроя
;1982-1985;Ростовская передвижная механизированная колонна треста Спецстроймонтаж  Стройтреста № 2 Ростоблколхозстроя
;1986-1987;Ростовская передвижная механизированная колонна треста Азовагропромстрой
;1987-1988;Ростовская передвижная механизированная колонна Центрального межхозяйственного строительно-монтажного  треста Ростовагропромстрой
147;1975-;Объединенный межведомственный архив,ОГУ Ростмежведархив
148;1972-1975;Ростовское транспортное предприятие Транссельхозтехника
;1975-1977;Ростовское транспортное предприятиеРостовского межрайонного объединения Сельхозтехника
;1981-1986;Ростовское транспортное предприятие ТранссельхозтехникаПроизводственно-транспортного управление Ростовтранссельхозтехника
;1987-1990;Межхозяйственное транспортное предприятие Ростовагропромтранс-1
149;1968-1983;Управление электромонтажных работ треста Спецстроймонтаж Ростоблколхозстроя
;1994-1986;Ростовская специализированная передвижная механизированная колонна № 2 электромонтажных работ Ростоблколхозстроя СПМК 2
;1986-1992;Ростовская специализированная межхозяйственная передвиж-ная механизированная колонна № 2 по электромонтажным работам треста Ростовспецстроймонтаж Ростовагропромстроя документы по 1987г включительно
;1992-;ЗАО Элмонт
